name,label
extrait 2 Dengue Woman Blues.mp3.png,0
extrait 3 Around And Around.mp3.png,0
extrait 3 My Babe.mp3.png,0
extrait 4 Evil Ways.mp3.png,0
extrait 2 Cross Road Blues - Take 2.mp3.png,0
extrait 3 L.A. Woman.mp3.png,0
extrait 4 I Got The Blues.mp3.png,0
extrait 0 Pride and Joy.mp3.png,0
extrait 0 Born in Chicago.mp3.png,0
extrait 3 Almost Cut My Hair.mp3.png,0
extrait 2 Help Me.mp3.png,0
extrait 1 I Got The Blues.mp3.png,0
extrait 4 Dengue Woman Blues.mp3.png,0
extrait 4 Johnny B. Goode.mp3.png,0
extrait 4 Dust My Broom.mp3.png,0
extrait 4 Go Back Home.mp3.png,0
extrait 2 Red House.mp3.png,0
extrait 4 No Money Down.mp3.png,0
extrait 4 Red House.mp3.png,0
extrait 1 Crosscut Saw - Mono Mix.mp3.png,0
extrait 2 Boogie with Stu - Remaster.mp3.png,0
extrait 3 Jesus Just Left Chicago (2006 Remaster).mp3.png,0
extrait 0 All Your Love.mp3.png,0
extrait 2 Born Under A Bad Sign - Mono Mix.mp3.png,0
extrait 1 I'd Rather Go Blind.mp3.png,0
extrait 4 Nadine - Stereo Remix.mp3.png,0
extrait 0 Crossroads - Live.mp3.png,0
extrait 2 Crossroads - Live.mp3.png,0
extrait 4 My Babe.mp3.png,0
extrait 2 Lucille.mp3.png,0
extrait 2 Let's Work Together.mp3.png,0
extrait 3 Johnny B. Goode.mp3.png,0
extrait 3 Evil Ways.mp3.png,0
extrait 1 Pride and Joy.mp3.png,0
extrait 4 Boogie Chillen'.mp3.png,0
extrait 2 Pride and Joy.mp3.png,0
extrait 2 Long Cool Woman (In a Black Dress) - 1999 Remaster.mp3.png,0
extrait 1 Double Whammy aka Wham!.mp3.png,0
extrait 2 Let's Make It.mp3.png,0
extrait 3 All Your Love.mp3.png,0
extrait 2 Almost Cut My Hair.mp3.png,0
extrait 4 Candlelight Sonata in F Major - 2011 Remaster.mp3.png,0
extrait 2 Call Me The Breeze.mp3.png,0
extrait 3 Mary Had a Little Lamb.mp3.png,0
extrait 3 Double Whammy aka Wham!.mp3.png,0
extrait 3 Mercury Blues.mp3.png,0
extrait 3 All Your Love (I Miss Loving).mp3.png,0
extrait 3 Dengue Woman Blues.mp3.png,0
extrait 2 Lies.mp3.png,0
extrait 3 I Ain't Drunk - Remastered.mp3.png,0
extrait 1 Let's Work Together.mp3.png,0
extrait 0 I Ain't Superstitious.mp3.png,0
extrait 4 Around And Around.mp3.png,0
extrait 1 Cross Road Blues - Take 2.mp3.png,0
extrait 3 I'd Rather Go Blind.mp3.png,0
extrait 0 Dust My Broom.mp3.png,0
extrait 3 First Time I Met The Blues - Single Version.mp3.png,0
extrait 4 Heart Full of Soul - 2015 Remaster.mp3.png,0
extrait 3 Green Onions.mp3.png,0
extrait 0 My Babe.mp3.png,0
extrait 2 I'd Rather Go Blind.mp3.png,0
"extrait 0 Honey, Hush aka Talking Woman Blues.mp3.png",0
extrait 2 L.A. Woman.mp3.png,0
extrait 4 How Many More Years.mp3.png,0
extrait 0 Maggot Brain.mp3.png,0
extrait 0 Brother Bill (The Last Clean Shirt).mp3.png,0
extrait 1 All Your Love.mp3.png,0
extrait 1 Maggot Brain.mp3.png,0
extrait 0 Double Whammy aka Wham!.mp3.png,0
extrait 2 Leaving Trunk.mp3.png,0
extrait 0 Go Back Home.mp3.png,0
extrait 0 Almost Cut My Hair.mp3.png,0
extrait 3 Dimples.mp3.png,0
extrait 3 Bring It On Home.mp3.png,0
extrait 4 Albert's Shuffle.mp3.png,0
extrait 1 Dengue Woman Blues.mp3.png,0
extrait 1 Brown Sugar.mp3.png,0
extrait 3 Boom Boom.mp3.png,0
extrait 1 Green Onions.mp3.png,0
extrait 3 Lies.mp3.png,0
extrait 4 Brother Bill (The Last Clean Shirt).mp3.png,0
extrait 4 Killing Floor.mp3.png,0
extrait 1 Albert's Shuffle.mp3.png,0
extrait 2 Double Trouble.mp3.png,0
extrait 0 Evil Ways.mp3.png,0
extrait 1 Born in Chicago.mp3.png,0
extrait 1 Baby What You Want Me To Do.mp3.png,0
extrait 4 Dimples.mp3.png,0
extrait 0 Got My Mojo Working.mp3.png,0
extrait 3 Back Door Man.mp3.png,0
extrait 1 I Ain't Superstitious.mp3.png,0
extrait 1 Nadine - Stereo Remix.mp3.png,0
extrait 1 Almost Cut My Hair.mp3.png,0
extrait 3 Cities On Flame with Rock and Roll.mp3.png,0
extrait 4 Cross Road Blues - Take 2.mp3.png,0
extrait 4 Double Whammy aka Wham!.mp3.png,0
"extrait 4 Baby, Please Don't Go (feat. Van Morrison).mp3.png",0
extrait 0 Boogie with Stu - Remaster.mp3.png,0
extrait 2 Little Red Rooster - Mono Version.mp3.png,0
extrait 3 Double Trouble.mp3.png,0
extrait 0 Mary Had a Little Lamb.mp3.png,0
extrait 4 Rollin' Stone.mp3.png,0
extrait 3 Got My Mojo Working.mp3.png,0
extrait 2 3 O'Clock Blues - 1999 RemasterStereo.mp3.png,0
extrait 0 Gimme Shelter.mp3.png,0
extrait 2 Brother Bill (The Last Clean Shirt).mp3.png,0
extrait 1 Crossroads - Live.mp3.png,0
"extrait 3 Damn Right, I've Got the Blues.mp3.png",0
extrait 4 Lucille.mp3.png,0
extrait 0 Red House.mp3.png,0
extrait 3 Be Careful With a Fool.mp3.png,0
extrait 0 I Can't Quit You Baby.mp3.png,0
extrait 1 Let's Make It.mp3.png,0
extrait 4 Ain't Got Nobody.mp3.png,0
extrait 0 Rollin' Stone.mp3.png,0
extrait 0 I Ain't Drunk - Remastered.mp3.png,0
extrait 3 Killing Floor.mp3.png,0
extrait 2 Back Door Man.mp3.png,0
extrait 0 Killing Floor.mp3.png,0
extrait 4 I'm A Man.mp3.png,0
extrait 3 Crosscut Saw - Mono Mix.mp3.png,0
extrait 2 Boom Boom.mp3.png,0
extrait 2 Albert's Shuffle.mp3.png,0
"extrait 0 Damn Right, I've Got the Blues.mp3.png",0
extrait 2 Dust My Broom.mp3.png,0
extrait 4 I Can't Quit You Baby - Alternate Version.mp3.png,0
extrait 0 Let's Make It.mp3.png,0
"extrait 2 Bright Lights, Big City.mp3.png",0
extrait 1 Red House.mp3.png,0
extrait 0 Johnny B. Goode.mp3.png,0
extrait 4 Got My Mojo Working.mp3.png,0
extrait 0 Baby What You Want Me To Do.mp3.png,0
extrait 1 Mercury Blues.mp3.png,0
extrait 3 3 O'Clock Blues - 1999 RemasterStereo.mp3.png,0
extrait 1 I Ain't Drunk - Remastered.mp3.png,0
extrait 1 Bring It On Home.mp3.png,0
"extrait 0 Oh Well, Pt. 1 - 2013 Remaster.mp3.png",0
extrait 1 Born Under A Bad Sign - Mono Mix.mp3.png,0
extrait 0 No Money Down.mp3.png,0
extrait 0 I'm A Man.mp3.png,0
extrait 2 Johnny B. Goode.mp3.png,0
"extrait 3 Bright Lights, Big City.mp3.png",0
extrait 0 Bring It On Home.mp3.png,0
extrait 3 Born Under A Bad Sign - Mono Mix.mp3.png,0
extrait 2 Mr. Soul.mp3.png,0
extrait 3 Black Sun.mp3.png,0
extrait 0 Help Me.mp3.png,0
extrait 2 I Ain't Drunk - Remastered.mp3.png,0
extrait 0 Nadine - Stereo Remix.mp3.png,0
extrait 2 Killing Floor.mp3.png,0
extrait 4 Leaving Trunk.mp3.png,0
extrait 0 Brown Sugar.mp3.png,0
extrait 4 I Can't Quit You Baby.mp3.png,0
extrait 3 Let's Make It.mp3.png,0
extrait 0 Midnight Rambler.mp3.png,0
"extrait 3 Oh Well, Pt. 1 - 2013 Remaster.mp3.png",0
extrait 2 Born in Chicago.mp3.png,0
extrait 3 Cross Road Blues - Take 2.mp3.png,0
extrait 4 Midnight Rambler.mp3.png,0
extrait 1 Got My Mojo Working.mp3.png,0
extrait 1 Midnight Rambler.mp3.png,0
extrait 4 Bring It On Home.mp3.png,0
extrait 0 Mercury Blues.mp3.png,0
extrait 3 Go Back Home.mp3.png,0
extrait 2 First Time I Met The Blues - Single Version.mp3.png,0
extrait 1 Be Careful With a Fool.mp3.png,0
extrait 3 Boogie with Stu - Remaster.mp3.png,0
extrait 3 Love Struck Baby.mp3.png,0
extrait 4 Love Struck Baby.mp3.png,0
extrait 1 3 O'Clock Blues - 1999 RemasterStereo.mp3.png,0
extrait 4 Mercury Blues.mp3.png,0
extrait 2 Be Careful With a Fool.mp3.png,0
extrait 2 Love Struck Baby.mp3.png,0
extrait 3 It Takes Time.mp3.png,0
extrait 3 Baby What You Want Me To Do.mp3.png,0
